RepDate,SPName,Capacity,Enrollment,Waitlist,Vacancy
31/12/2017,(DAC) Bishan Home for the Intellectually Disabled,50,25,0,25
31/12/2017,(DAC) Blue Cross Thong Kheng ASD Day Activity Centre,62,4,14,58
31/12/2017,(DAC) Blue Cross Thong Kheng Home,50,33,3,17
31/12/2017,(DAC) MINDS Training & Development Centre @ Jurong,53,38,9,15
31/12/2017,(DAC) Red Cross Day Activity Centre,50,12,4,38
31/12/2017,(DAC) Metta Home @ Woodlands,50,32,0,18
31/7/2017,(DAC) THK Autism Centre @ Geylang Bahru,74,20,12,54
31/7/2017,(DAC) THK Day Activity Centre @ Chai Chee,50,23,1,27
31/7/2017,(DAC) Bishan Home for the Intellectually Disabled,50,25,3,25
31/7/2017,(DAC) Metta Home @ Woodlands,50,32,0,18
31/7/2017,(DAC) Singapore Cheshire Home,50,31,1,19
31/7/2017,(DAC) Blue Cross Thong Kheng Home,50,33,3,17
31/7/2017,(DAC) Red Cross Day Activity Centre,50,13,2,37
31/8/2017,(DAC) Bishan Home for the Intellectually Disabled,50,25,1,25
31/8/2017,(DAC) Red Cross Day Activity Centre,50,13,3,37
31/8/2017,(DAC) Singapore Cheshire Home,50,31,1,19
31/8/2017,(DAC) Blue Cross Thong Kheng Home,50,33,4,17
31/8/2017,(DAC) Blue Cross Thong Kheng ASD Day Activity Centre,62,0,4,62
30/9/2017,(DAC) Blue Cross Thong Kheng ASD Day Activity Centre,62,0,11,62
30/9/2017,(DAC) Singapore Cheshire Home,50,32,0,18
30/9/2017,(DAC) Bishan Home for the Intellectually Disabled,50,25,1,25
30/9/2017,(DAC) Red Cross Day Activity Centre,50,13,3,37
30/9/2017,(DAC) Blue Cross Thong Kheng Home,50,33,4,17
30/9/2017,(DAC) Metta Home @ Woodlands,50,32,0,18
31/1/2018,(DAC) Bishan Home for the Intellectually Disabled,50,25,0,25
31/1/2018,(DAC) Metta Home @ Woodlands,50,30,0,20
31/1/2018,(DAC) MINDS Training & Development Centre @ Jurong,53,41,4,12
31/1/2018,(DAC) Red Cross Day Activity Centre,50,12,4,38
31/1/2018,(DAC) THK Autism Centre @ Geylang Bahru,74,21,19,53
28/2/2018,(DAC) TOUCH Centre for Independent Living - Ubi,50,53,3,-3
31/1/2018,(DAC) THK Day Activity Centre @ Chai Chee,50,23,1,27
31/10/2018,(DAC) THK Autism Centre @ Geylang Bahru,66,21,15,45
31/10/2018,(DAC) MINDS Training & Development Centre @ Tampines,48,52,6,-4
31/10/2018,(DAC) BizLink Day Activity Centre,40,29,11,11
31/10/2018,(DAC) Blue Cross Thong Kheng ASD Day Activity Centre,60,14,8,46
31/10/2018,(DAC) Blue Cross Thong Kheng Home,50,31,2,19
31/10/2018,(DAC) Emmanuel Activity Centre @ Tampines,50,52,4,-2
31/10/2018,(DAC) Emmanuel Activity Centre @ Toa Payoh,83,50,11,33
31/10/2018,(DAC) Cerebral Palsy Alliance Singapore,50,50,16,0
31/10/2018,(DAC) Eden Centre for Adults @ Clementi,40,39,10,1
31/10/2018,(DAC) Eden Centre for Adults @ Hougang,40,37,4,3
31/10/2018,(DAC) Metta Home @ Hougang,40,35,3,5
31/10/2018,(DAC) Metta Home @ Woodlands,50,29,1,21
31/10/2018,(DAC) MINDS Training & Development Centre @ Ang Mo Kio,55,46,4,9
31/10/2018,(DAC) MINDS Training & Development Centre @ Clementi,55,46,5,9
31/10/2018,(DAC) MINDS Training & Development Centre @ Eunos,100,69,3,31
31/10/2018,(DAC) MINDS Training & Development Centre @ Faber,41,33,2,8
31/10/2018,(DAC) MINDS Training & Development Centre @ Jurong,53,41,3,12
31/10/2018,(DAC) MINDS Training & Development Centre @ Napiri,50,59,14,-9
31/10/2018,(DAC) MINDS Training & Development Centre @ Yishun,61,51,6,10
31/10/2018,(DAC) Red Cross Day Activity Centre,50,13,1,37
31/10/2018,(DAC) Singapore Cheshire Home,50,26,3,24
31/10/2018,(DAC) SPD Day Activity Centre,91,71,17,20
31/10/2018,(DAC) St Andrew's Autism Centre (Siglap),97,90,17,7
31/10/2018,(DAC) SUN-DAC @ Bedok,50,45,2,5
31/10/2018,(DAC) SUN-DAC @ Choa Chu Kang,50,48,4,2
31/10/2018,(DAC) SUN-DAC @ Upper Thomson,120,23,21,97
31/10/2018,(DAC) THK Day Activity Centre @ Chai Chee,50,20,3,30
31/10/2018,(DAC) TOUCH Centre for Independent Living - Bukit Merah,42,21,1,21
31/10/2018,(DAC) TOUCH Centre for Independent Living - Ubi,50,38,2,12
30/11/2018,(DAC) Metta Home @ Hougang,40,35,3,5
30/11/2018,(DAC) Bishan Home for the Intellectually Disabled,50,26,0,24
30/11/2018,(DAC) BizLink Day Activity Centre,40,27,13,13
30/11/2018,(DAC) Blue Cross Thong Kheng ASD Day Activity Centre,60,14,8,46
30/11/2018,(DAC) Blue Cross Thong Kheng Home,50,31,2,19
30/11/2018,(DAC) Emmanuel Activity Centre @ Tampines,50,53,3,-3
30/11/2018,(DAC) Emmanuel Activity Centre @ Toa Payoh,83,53,11,30
30/11/2018,(DAC) Cerebral Palsy Alliance Singapore,50,50,16,0
30/11/2018,(DAC) Eden Centre for Adults @ Clementi,40,46,9,-6
30/11/2018,(DAC) Eden Centre for Adults @ Hougang,40,38,4,2
30/11/2018,(DAC) Metta Home @ Woodlands,50,29,1,21
30/11/2018,(DAC) MINDS Training & Development Centre @ Ang Mo Kio,55,46,5,9
30/11/2018,(DAC) MINDS Training & Development Centre @ Clementi,55,45,4,10
30/11/2018,(DAC) MINDS Training & Development Centre @ Eunos,100,69,3,31
30/11/2018,(DAC) MINDS Training & Development Centre @ Faber,41,33,9,8
30/11/2018,(DAC) MINDS Training & Development Centre @ Jurong,53,41,4,12
30/11/2018,(DAC) MINDS Training & Development Centre @ Napiri,50,60,13,-10
30/11/2018,(DAC) MINDS Training & Development Centre @ Tampines,48,52,8,-4
30/11/2018,(DAC) MINDS Training & Development Centre @ Yishun,61,50,7,11
30/11/2018,(DAC) Red Cross Day Activity Centre,50,13,1,37
30/11/2018,(DAC) Singapore Cheshire Home,50,26,3,24
30/11/2018,(DAC) SPD Day Activity Centre,91,73,18,18
30/11/2018,(DAC) St Andrew's Autism Centre (Siglap),97,89,15,8
30/11/2018,(DAC) SUN-DAC @ Bedok,50,47,2,3
30/11/2018,(DAC) SUN-DAC @ Choa Chu Kang,50,51,2,-1
30/11/2018,(DAC) SUN-DAC @ Upper Thomson,120,22,21,98
30/11/2018,(DAC) THK Day Activity Centre @ Chai Chee,50,21,2,29
30/11/2018,(DAC) THK Autism Centre @ Geylang Bahru,66,22,11,44
30/11/2018,(DAC) TOUCH Centre for Independent Living - Bukit Merah,42,21,2,21
30/11/2018,(DAC) TOUCH Centre for Independent Living - Ubi,50,38,2,12
31/12/2018,(DAC) THK Day Activity Centre @ Chai Chee,50,21,2,29
31/12/2018,(DAC) THK Autism Centre @ Geylang Bahru,66,11,10,55
31/12/2018,(DAC) TOUCH Centre for Independent Living - Bukit Merah,42,21,2,21
31/12/2018,(DAC) TOUCH Centre for Independent Living - Ubi,50,38,2,12
31/12/2018,(DAC) Bishan Home for the Intellectually Disabled,50,25,0,25
31/12/2018,(DAC) BizLink Day Activity Centre,40,32,8,8
31/12/2018,(DAC) Blue Cross Thong Kheng ASD Day Activity Centre,60,14,9,46
31/12/2018,(DAC) Blue Cross Thong Kheng Home,50,31,1,19
31/12/2018,(DAC) Emmanuel Activity Centre @ Tampines,50,53,3,-3
31/12/2018,(DAC) Emmanuel Activity Centre @ Toa Payoh,83,53,12,30
31/12/2018,(DAC) Cerebral Palsy Alliance Singapore,50,50,17,0
31/12/2018,(DAC) Eden Centre for Adults @ Clementi,40,46,11,-6
31/12/2018,(DAC) Eden Centre for Adults @ Hougang,40,39,3,1
31/12/2018,(DAC) Metta Home @ Hougang,40,33,3,7
31/12/2018,(DAC) Metta Home @ Woodlands,50,29,1,21
31/12/2018,(DAC) MINDS Training & Development Centre @ Ang Mo Kio,55,45,4,10
31/12/2018,(DAC) MINDS Training & Development Centre @ Clementi,55,44,4,11
31/12/2018,(DAC) MINDS Training & Development Centre @ Eunos,100,69,4,31
31/12/2018,(DAC) MINDS Training & Development Centre @ Faber,41,34,9,7
31/12/2018,(DAC) MINDS Training & Development Centre @ Jurong,53,41,4,12
31/12/2018,(DAC) MINDS Training & Development Centre @ Napiri,50,61,10,-11
31/12/2018,(DAC) MINDS Training & Development Centre @ Tampines,48,53,10,-5
31/12/2018,(DAC) MINDS Training & Development Centre @ Yishun,61,49,7,12
31/12/2018,(DAC) Red Cross Day Activity Centre,50,13,2,37
31/12/2018,(DAC) Singapore Cheshire Home,50,26,2,24
31/12/2018,(DAC) SPD Day Activity Centre,91,74,17,17
31/12/2018,(DAC) St Andrew's Autism Centre (Siglap),97,89,14,8
31/12/2018,(DAC) SUN-DAC @ Bedok,50,47,2,3
31/12/2018,(DAC) SUN-DAC @ Choa Chu Kang,50,50,2,0
31/12/2018,(DAC) SUN-DAC @ Upper Thomson,120,23,17,97
28/2/2018,(DAC) Metta Home @ Woodlands,50,30,1,20
28/2/2018,(DAC) MINDS Training & Development Centre @ Jurong,53,43,2,10
28/2/2018,(DAC) THK Autism Centre @ Geylang Bahru,74,21,21,53
31/5/2018,(DAC) THK Day Activity Centre @ Chai Chee,50,23,2,27
31/3/2018,(DAC) Metta Home @ Hougang,40,35,4,5
31/3/2018,(DAC) Metta Home @ Woodlands,50,30,1,20
31/3/2018,(DAC) THK Autism Centre @ Geylang Bahru,74,22,21,52
31/3/2018,(DAC) Red Cross Day Activity Centre,50,13,4,37
31/3/2018,(DAC) MINDS Training & Development Centre @ Jurong,53,45,0,8
31/3/2018,(DAC) THK Day Activity Centre @ Chai Chee,50,23,1,27
31/3/2018,(DAC) TOUCH Centre for Independent Living - Ubi,50,51,7,-1
31/3/2018,(DAC) Bishan Home for the Intellectually Disabled,50,25,0,25
31/3/2018,(DAC) Blue Cross Thong Kheng ASD Day Activity Centre,62,12,8,50
31/3/2018,(DAC) Blue Cross Thong Kheng Home,50,33,1,17
30/4/2018,(DAC) Blue Cross Thong Kheng Home,50,33,2,17
30/4/2018,(DAC) Blue Cross Thong Kheng ASD Day Activity Centre,62,13,7,49
30/4/2018,(DAC) Red Cross Day Activity Centre,50,13,2,37
30/4/2018,(DAC) THK Autism Centre @ Geylang Bahru,74,22,21,52
30/4/2018,(DAC) TOUCH Centre for Independent Living - Bukit Merah,42,19,0,23
30/4/2018,(DAC) TOUCH Centre for Independent Living - Ubi,50,34,8,16
30/4/2018,(DAC) Metta Home @ Hougang,40,35,4,5
30/4/2018,(DAC) Metta Home @ Woodlands,50,29,1,21
30/4/2018,(DAC) MINDS Training & Development Centre @ Jurong,53,45,0,8
30/4/2018,(DAC) Bishan Home for the Intellectually Disabled,50,25,0,25
30/4/2018,(DAC) THK Day Activity Centre @ Chai Chee,50,23,1,27
31/5/2018,(DAC) THK Autism Centre @ Geylang Bahru,74,22,20,52
31/5/2018,(DAC) Blue Cross Thong Kheng Home,50,33,2,17
31/5/2018,(DAC) Blue Cross Thong Kheng ASD Day Activity Centre,62,13,5,49
31/5/2018,(DAC) Red Cross Day Activity Centre,50,13,3,37
31/5/2018,(DAC) Metta Home @ Hougang,40,35,4,5
31/5/2018,(DAC) Bishan Home for the Intellectually Disabled,50,25,1,25
31/5/2018,(DAC) Metta Home @ Woodlands,50,29,1,21
31/5/2018,(DAC) MINDS Training & Development Centre @ Jurong,53,45,2,8
31/5/2018,(DAC) TOUCH Centre for Independent Living - Bukit Merah,42,19,1,23
31/5/2018,(DAC) TOUCH Centre for Independent Living - Ubi,50,37,6,13
30/6/2018,(DAC) Blue Cross Thong Kheng Home,50,33,1,17
30/6/2018,(DAC) Metta Home @ Hougang,40,35,4,5
30/6/2018,(DAC) Singapore Cheshire Home,50,28,0,22
30/6/2018,(DAC) THK Autism Centre @ Geylang Bahru,74,22,19,52
30/6/2018,(DAC) Bishan Home for the Intellectually Disabled,50,25,1,25
30/6/2018,(DAC) Blue Cross Thong Kheng ASD Day Activity Centre,62,16,3,46
30/6/2018,(DAC) Red Cross Day Activity Centre,50,13,2,37
30/6/2018,(DAC) BizLink Day Activity Centre,40,38,13,2
30/6/2018,(DAC) Emmanuel Activity Centre @ Tampines,50,51,5,-1
30/6/2018,(DAC) Emmanuel Activity Centre @ Toa Payoh,83,50,5,33
30/6/2018,(DAC) Cerebral Palsy Alliance Singapore,50,50,6,0
30/6/2018,(DAC) Eden Centre for Adults @ Clementi,40,39,11,1
30/6/2018,(DAC) Eden Centre for Adults @ Hougang,40,37,3,3
30/6/2018,(DAC) Metta Home @ Woodlands,50,29,1,21
30/6/2018,(DAC) MINDS Training & Development Centre @ Ang Mo Kio,55,50,2,5
30/6/2018,(DAC) MINDS Training & Development Centre @ Clementi,55,45,0,10
30/6/2018,(DAC) MINDS Training & Development Centre @ Eunos,100,69,0,31
30/6/2018,(DAC) MINDS Training & Development Centre @ Faber,41,33,3,8
30/6/2018,(DAC) MINDS Training & Development Centre @ Jurong,53,45,3,8
30/6/2018,(DAC) MINDS Training & Development Centre @ Napiri,50,62,14,-12
30/6/2018,(DAC) MINDS Training & Development Centre @ Tampines,48,50,5,-2
30/6/2018,(DAC) MINDS Training & Development Centre @ Yishun,61,51,5,10
30/6/2018,(DAC) SPD Day Activity Centre,60,60,19,0
30/6/2018,(DAC) St Andrew's Autism Centre (Siglap),78,89,26,-11
30/6/2018,(DAC) SUN-DAC @ Bedok,50,46,2,4
30/6/2018,(DAC) SUN-DAC @ Choa Chu Kang,50,49,8,1
30/6/2018,(DAC) SUN-DAC @ Upper Thomson,120,9,13,111
30/6/2018,(DAC) THK Day Activity Centre @ Chai Chee,50,21,2,29
30/6/2018,(DAC) TOUCH Centre for Independent Living - Bukit Merah,42,19,1,23
30/6/2018,(DAC) TOUCH Centre for Independent Living - Ubi,50,37,4,13
31/7/2018,(DAC) BizLink Day Activity Centre,40,38,14,2
31/7/2018,(DAC) Eden Centre for Adults @ Clementi,40,39,11,1
31/7/2018,(DAC) Eden Centre for Adults @ Hougang,40,37,7,3
31/7/2018,(DAC) THK Day Activity Centre @ Chai Chee,50,21,2,29
31/7/2018,(DAC) THK Autism Centre @ Geylang Bahru,74,22,16,52
31/7/2018,(DAC) Bishan Home for the Intellectually Disabled,50,25,2,25
31/7/2018,(DAC) Blue Cross Thong Kheng ASD Day Activity Centre,62,15,3,47
31/7/2018,(DAC) Blue Cross Thong Kheng Home,50,33,1,17
31/7/2018,(DAC) Emmanuel Activity Centre @ Tampines,50,51,5,-1
31/7/2018,(DAC) Emmanuel Activity Centre @ Toa Payoh,83,50,6,33
31/7/2018,(DAC) Cerebral Palsy Alliance Singapore,50,50,7,0
31/7/2018,(DAC) Metta Home @ Hougang,40,35,4,5
31/7/2018,(DAC) Metta Home @ Woodlands,50,29,1,21
31/7/2018,(DAC) MINDS Training & Development Centre @ Ang Mo Kio,55,50,2,5
31/7/2018,(DAC) MINDS Training & Development Centre @ Clementi,55,45,0,10
31/7/2018,(DAC) MINDS Training & Development Centre @ Eunos,100,69,0,31
31/7/2018,(DAC) MINDS Training & Development Centre @ Faber,41,34,1,7
31/7/2018,(DAC) MINDS Training & Development Centre @ Jurong,53,42,3,11
31/7/2018,(DAC) MINDS Training & Development Centre @ Napiri,50,60,14,-10
31/7/2018,(DAC) MINDS Training & Development Centre @ Tampines,48,53,3,-5
31/7/2018,(DAC) MINDS Training & Development Centre @ Yishun,61,51,4,10
31/7/2018,(DAC) Red Cross Day Activity Centre,50,13,1,37
31/7/2018,(DAC) Singapore Cheshire Home,50,28,0,22
31/7/2018,(DAC) SPD Day Activity Centre,91,61,16,30
31/7/2018,(DAC) St Andrew's Autism Centre (Siglap),78,89,22,-11
31/7/2018,(DAC) SUN-DAC @ Bedok,50,45,1,5
31/7/2018,(DAC) SUN-DAC @ Choa Chu Kang,50,48,4,2
31/7/2018,(DAC) SUN-DAC @ Upper Thomson,120,10,13,110
31/7/2018,(DAC) TOUCH Centre for Independent Living - Bukit Merah,42,20,1,22
31/7/2018,(DAC) TOUCH Centre for Independent Living - Ubi,50,37,4,13
31/8/2018,(DAC) BizLink Day Activity Centre,40,38,13,2
30/8/2018,(DAC) Metta Home @ Hougang,40,35,4,5
31/8/2018,(DAC) Red Cross Day Activity Centre,50,13,1,37
31/8/2018,(DAC) SUN-DAC @ Bedok,50,45,1,5
31/8/2018,(DAC) SUN-DAC @ Upper Thomson,120,10,15,110
30/8/2018,(DAC) THK Autism Centre @ Geylang Bahru,66,20,13,46
31/8/2018,(DAC) Bishan Home for the Intellectually Disabled,50,25,2,25
31/8/2018,(DAC) Blue Cross Thong Kheng ASD Day Activity Centre,60,15,3,45
31/8/2018,(DAC) Blue Cross Thong Kheng Home,50,31,1,19
31/8/2018,(DAC) Emmanuel Activity Centre @ Tampines,50,51,5,-1
31/8/2018,(DAC) Emmanuel Activity Centre @ Toa Payoh,83,50,6,33
31/8/2018,(DAC) Cerebral Palsy Alliance Singapore,50,50,10,0
30/8/2018,(DAC) Metta Home @ Woodlands,50,29,1,21
31/8/2018,(DAC) MINDS Training & Development Centre @ Ang Mo Kio,55,48,2,7
31/8/2018,(DAC) MINDS Training & Development Centre @ Clementi,55,45,2,10
31/8/2018,(DAC) MINDS Training & Development Centre @ Eunos,100,69,0,31
31/8/2018,(DAC) MINDS Training & Development Centre @ Faber,41,33,0,8
31/8/2018,(DAC) MINDS Training & Development Centre @ Jurong,53,41,4,12
31/8/2018,(DAC) MINDS Training & Development Centre @ Napiri,50,59,13,-9
31/8/2018,(DAC) MINDS Training & Development Centre @ Tampines,48,53,4,-5
31/8/2018,(DAC) MINDS Training & Development Centre @ Yishun,61,51,3,10
31/8/2018,(DAC) Singapore Cheshire Home,50,27,0,23
31/8/2018,(DAC) SPD Day Activity Centre,91,62,16,29
31/8/2018,(DAC) St Andrew's Autism Centre (Siglap),97,89,17,8
31/8/2018,(DAC) SUN-DAC @ Choa Chu Kang,50,48,3,2
30/8/2018,(DAC) THK Day Activity Centre @ Chai Chee,50,21,2,29
30/8/2018,(DAC) TOUCH Centre for Independent Living - Bukit Merah,42,20,2,22
30/8/2018,(DAC) TOUCH Centre for Independent Living - Ubi,50,38,2,12
30/9/2018,(DAC) BizLink Day Activity Centre,40,32,12,8
30/9/2018,(DAC) Metta Home @ Hougang,40,35,3,5
30/9/2018,(DAC) SUN-DAC @ Upper Thomson,120,10,21,110
30/9/2018,(DAC) THK Autism Centre @ Geylang Bahru,66,20,20,46
30/9/2018,(DAC) Bishan Home for the Intellectually Disabled,50,25,2,25
30/9/2018,(DAC) Blue Cross Thong Kheng ASD Day Activity Centre,60,15,8,45
30/9/2018,(DAC) Blue Cross Thong Kheng Home,50,31,2,19
30/9/2018,(DAC) Emmanuel Activity Centre @ Tampines,50,52,4,-2
30/9/2018,(DAC) Emmanuel Activity Centre @ Toa Payoh,83,50,11,33
30/9/2018,(DAC) Cerebral Palsy Alliance Singapore,50,50,16,0
30/9/2018,(DAC) Eden Centre for Adults @ Clementi,40,39,9,1
30/9/2018,(DAC) Eden Centre for Adults @ Hougang,40,37,4,3
30/9/2018,(DAC) Metta Home @ Woodlands,50,29,1,21
30/9/2018,(DAC) MINDS Training & Development Centre @ Ang Mo Kio,55,48,3,7
30/9/2018,(DAC) MINDS Training & Development Centre @ Clementi,55,46,3,9
30/9/2018,(DAC) MINDS Training & Development Centre @ Eunos,100,69,3,31
30/9/2018,(DAC) MINDS Training & Development Centre @ Faber,41,33,2,8
30/9/2018,(DAC) MINDS Training & Development Centre @ Jurong,53,41,4,12
30/9/2018,(DAC) MINDS Training & Development Centre @ Napiri,50,59,14,-9
30/9/2018,(DAC) MINDS Training & Development Centre @ Tampines,48,52,8,-4
30/9/2018,(DAC) MINDS Training & Development Centre @ Yishun,61,52,7,9
30/9/2018,(DAC) Red Cross Day Activity Centre,50,13,1,37
30/9/2018,(DAC) Singapore Cheshire Home,50,27,3,23
30/9/2018,(DAC) SPD Day Activity Centre,91,70,17,21
30/9/2018,(DAC) St Andrew's Autism Centre (Siglap),97,89,18,8
30/9/2018,(DAC) SUN-DAC @ Bedok,50,45,3,5
30/9/2018,(DAC) SUN-DAC @ Choa Chu Kang,50,48,2,2
30/9/2018,(DAC) THK Day Activity Centre @ Chai Chee,50,20,1,30
30/9/2018,(DAC) TOUCH Centre for Independent Living - Bukit Merah,42,21,1,21
30/9/2018,(DAC) TOUCH Centre for Independent Living - Ubi,50,38,2,12
31/1/2019,(DAC) Metta Home @ Hougang,40,33,3,7
31/1/2019,(DAC) THK Day Activity Centre @ Chai Chee,50,21,4,29
31/1/2019,(DAC) Bishan Home for the Intellectually Disabled,50,25,0,25
31/1/2019,(DAC) BizLink Day Activity Centre,40,33,7,7
31/1/2019,(DAC) Blue Cross Thong Kheng ASD Day Activity Centre,60,21,3,39
31/1/2019,(DAC) Blue Cross Thong Kheng Home,50,31,3,19
31/1/2019,(DAC) Emmanuel Activity Centre @ Tampines,50,53,3,-3
31/1/2019,(DAC) Emmanuel Activity Centre @ Toa Payoh,83,52,12,31
31/1/2019,(DAC) Cerebral Palsy Alliance Singapore,50,50,17,0
31/1/2019,(DAC) Eden Centre for Adults @ Clementi,40,46,11,-6
31/1/2019,(DAC) Eden Centre for Adults @ Hougang,40,39,3,1
31/1/2019,(DAC) Metta Home @ Woodlands,50,29,1,21
31/1/2019,(DAC) MINDS Training & Development Centre @ Ang Mo Kio,55,47,3,8
31/1/2019,(DAC) MINDS Training & Development Centre @ Clementi,55,46,3,9
31/1/2019,(DAC) MINDS Training & Development Centre @ Eunos,100,70,3,30
31/1/2019,(DAC) MINDS Training & Development Centre @ Faber,41,36,6,5
31/1/2019,(DAC) MINDS Training & Development Centre @ Jurong,53,42,4,11
31/1/2019,(DAC) MINDS Training & Development Centre @ Napiri,50,59,10,-9
31/1/2019,(DAC) MINDS Training & Development Centre @ Tampines,48,55,7,-7
31/1/2019,(DAC) MINDS Training & Development Centre @ Yishun,61,55,1,6
31/1/2019,(DAC) Red Cross Day Activity Centre,50,9,5,41
31/1/2019,(DAC) Singapore Cheshire Home,50,26,1,24
31/1/2019,(DAC) SPD Day Activity Centre,91,82,10,9
31/1/2019,(DAC) St Andrew's Autism Centre (Siglap),97,89,17,8
31/1/2019,(DAC) SUN-DAC @ Bedok,50,46,1,4
31/1/2019,(DAC) SUN-DAC @ Choa Chu Kang,50,49,2,1
31/1/2019,(DAC) SUN-DAC @ Upper Thomson,120,26,14,94
31/1/2019,(DAC) THK Autism Centre @ Geylang Bahru,66,27,7,39
31/1/2019,(DAC) TOUCH Centre for Independent Living - Bukit Merah,42,21,2,21
31/1/2019,(DAC) TOUCH Centre for Independent Living - Ubi,50,38,2,12
31/10/2019,(DAC) THK Day Activity Centre @ Chai Chee,50,19,4,31
31/10/2019,(DAC) THK Autism Centre @ Geylang Bahru,66,23,9,43
31/10/2019,(DAC) Bishan Home for the Intellectually Disabled,50,24,1,26
31/10/2019,(DAC) BizLink Day Activity Centre,40,33,5,7
31/10/2019,(DAC) Blue Cross Thong Kheng Home,50,32,4,18
31/10/2019,(DAC) Emmanuel Activity Centre @ Tampines,50,50,3,0
31/10/2019,(DAC) Eden Centre for Adults @ Clementi,40,44,10,-4
31/10/2019,(DAC) Eden Centre for Adults @ Hougang,40,42,4,-2
31/10/2019,(DAC) Metta Home @ Woodlands,50,28,2,22
31/10/2019,(DAC) MINDS Training & Development Centre @ Clementi,55,48,4,7
31/10/2019,(DAC) MINDS Training & Development Centre @ Eunos,100,66,7,34
31/10/2019,(DAC) MINDS Training & Development Centre @ Faber,41,37,0,4
31/10/2019,(DAC) MINDS Training & Development Centre @ Jurong,53,43,2,10
31/10/2019,(DAC) MINDS Training & Development Centre @ Yishun,61,52,8,9
31/10/2019,(DAC) Red Cross Day Activity Centre,50,11,5,39
30/11/2019,(DAC) Bishan Home for the Intellectually Disabled,50,25,1,25
30/11/2019,(DAC) BizLink Day Activity Centre,40,33,5,7
30/11/2019,(DAC) Blue Cross Thong Kheng Home,50,32,4,18
30/11/2019,(DAC) Cerebral Palsy Alliance Singapore,70,63,7,7
30/11/2019,(DAC) Eden Centre for Adults @ Hougang,40,42,4,-2
30/11/2019,(DAC) Metta Home @ Woodlands,50,28,2,22
30/11/2019,(DAC) MINDS Training & Development Centre @ Clementi,55,48,4,7
30/11/2019,(DAC) MINDS Training & Development Centre @ Eunos,100,66,7,34
30/11/2019,(DAC) MINDS Training & Development Centre @ Jurong,53,43,2,10
30/11/2019,(DAC) MINDS Training & Development Centre @ Napiri,50,59,12,-9
30/11/2019,(DAC) Singapore Cheshire Home,50,26,3,24
30/11/2019,(DAC) St Andrew's Autism Centre (Siglap),97,67,10,30
30/11/2019,(DAC) SUN-DAC @ Bedok,50,44,3,6
30/11/2019,(DAC) SUN-DAC @ Upper Thomson,120,35,10,85
30/11/2019,(DAC) TOUCH Centre for Independent Living - Bukit Merah,42,22,2,20
30/11/2019,(DAC) TOUCH Centre for Independent Living - Ubi,50,37,0,13
31/12/2019,(DAC) THK Autism Centre @ Geylang Bahru,66,23,9,43
31/12/2019,(DAC) Bishan Home for the Intellectually Disabled,50,25,1,25
31/12/2019,(DAC) Emmanuel Activity Centre @ Tampines,50,50,3,0
31/12/2019,(DAC) Emmanuel Activity Centre @ Toa Payoh,83,51,13,32
31/12/2019,(DAC) Cerebral Palsy Alliance Singapore,70,63,7,7
31/12/2019,(DAC) Metta Home @ Woodlands,50,28,2,22
31/12/2019,(DAC) MINDS Training & Development Centre @ Ang Mo Kio,55,50,3,5
31/12/2019,(DAC) MINDS Training & Development Centre @ Clementi,55,48,4,7
31/12/2019,(DAC) MINDS Training & Development Centre @ Eunos,100,66,7,34
31/12/2019,(DAC) MINDS Training & Development Centre @ Faber,41,37,0,4
31/12/2019,(DAC) Red Cross Day Activity Centre,50,11,6,39
31/12/2019,(DAC) Singapore Cheshire Home,50,26,2,24
31/12/2019,(DAC) St Andrew's Autism Centre (Sengkang),50,28,7,22
31/12/2019,(DAC) SUN-DAC @ Choa Chu Kang,50,48,2,2
31/12/2019,(DAC) SUN-DAC @ Upper Thomson,120,35,11,85
31/12/2019,(DAC) TOUCH Centre for Independent Living - Bukit Merah,42,22,2,20
28/2/2019,(DAC) Metta Home @ Hougang,40,33,3,7
28/2/2019,(DAC) SUN-DAC @ Upper Thomson,120,26,14,94
28/2/2019,(DAC) THK Day Activity Centre @ Chai Chee,50,21,4,29
28/2/2019,(DAC) THK Autism Centre @ Geylang Bahru,66,27,4,39
28/2/2019,(DAC) Bishan Home for the Intellectually Disabled,50,25,0,25
28/2/2019,(DAC) BizLink Day Activity Centre,40,32,7,8
28/2/2019,(DAC) Blue Cross Thong Kheng ASD Day Activity Centre,60,21,3,39
28/2/2019,(DAC) Blue Cross Thong Kheng Home,50,31,3,19
28/2/2019,(DAC) Emmanuel Activity Centre @ Tampines,50,53,3,-3
28/2/2019,(DAC) Emmanuel Activity Centre @ Toa Payoh,83,51,14,32
28/2/2019,(DAC) Cerebral Palsy Alliance Singapore,50,50,18,0
28/2/2019,(DAC) Eden Centre for Adults @ Clementi,40,46,11,-6
28/2/2019,(DAC) Eden Centre for Adults @ Hougang,40,42,3,-2
28/2/2019,(DAC) Metta Home @ Woodlands,50,29,0,21
28/2/2019,(DAC) MINDS Training & Development Centre @ Ang Mo Kio,55,47,3,8
28/2/2019,(DAC) MINDS Training & Development Centre @ Clementi,55,47,3,8
28/2/2019,(DAC) MINDS Training & Development Centre @ Eunos,100,70,2,30
28/2/2019,(DAC) MINDS Training & Development Centre @ Faber,41,40,1,1
28/2/2019,(DAC) MINDS Training & Development Centre @ Jurong,53,43,4,10
